date,ticker,open,high,low,close,volume,insertion_time
2005-01-03,ETFMIB IM Equity,16.0337,16.1177,15.9818,16.0389,84086.0,2025-06-11 13:42:00
2005-01-04,ETFMIB IM Equity,16.0259,16.1425,16.0259,16.0959,128154.0,2025-06-11 13:42:00
2005-01-05,ETFMIB IM Equity,16.07,16.1218,16.0104,16.0855,112499.0,2025-06-11 13:42:00
2005-01-06,ETFMIB IM Equity,16.0492,16.1094,16.0425,16.0907,36140.0,2025-06-11 13:42:00
2005-01-07,ETFMIB IM Equity,16.0881,16.1788,16.0881,16.1166,94494.0,2025-06-11 13:42:00
2005-01-10,ETFMIB IM Equity,16.2048,16.2048,16.1031,16.1374,83788.0,2025-06-11 13:42:00
2005-01-11,ETFMIB IM Equity,16.1425,16.1477,15.8989,15.9248,149047.0,2025-06-11 13:42:00
2005-01-12,ETFMIB IM Equity,15.9414,16.127,15.8191,15.8367,90388.0,2025-06-11 13:42:00
2005-01-13,ETFMIB IM Equity,15.9191,15.9922,15.8885,15.9611,104598.0,2025-06-11 13:42:00
2005-01-14,ETFMIB IM Equity,16.0233,16.1736,15.9253,16.0596,171855.0,2025-06-11 13:42:00
2005-01-17,ETFMIB IM Equity,16.184,16.184,16.0845,16.1011,206795.0,2025-06-11 13:42:00
2005-01-18,ETFMIB IM Equity,16.1166,16.3914,16.0383,16.0959,159917.0,2025-06-11 13:42:00
2005-01-19,ETFMIB IM Equity,16.1182,16.1928,16.1182,16.1581,144024.0,2025-06-11 13:42:00
2005-01-20,ETFMIB IM Equity,16.0907,16.1425,16.0596,16.1218,171059.0,2025-06-11 13:42:00
2005-01-21,ETFMIB IM Equity,16.0907,16.1736,16.0845,16.1529,125056.0,2025-06-11 13:42:00
2005-01-24,ETFMIB IM Equity,16.1218,16.1218,16.0409,16.0752,118562.0,2025-06-11 13:42:00
2005-01-25,ETFMIB IM Equity,16.1477,16.1736,16.0482,16.1529,96108.0,2025-06-11 13:42:00
2005-01-26,ETFMIB IM Equity,16.1571,16.1804,16.1213,16.127,59598.0,2025-06-11 13:42:00
2005-01-27,ETFMIB IM Equity,16.1685,16.1685,16.0311,16.0492,53374.0,2025-06-11 13:42:00
