date,ticker,open,high,low,close,volume,insertion_time
2005-01-03,ISP IM Equity,1.11,1.1162,1.1006,1.1037,14160360.0,2025-06-11 14:22:00
2005-01-04,ISP IM Equity,1.1006,1.1162,1.1006,1.1053,20362882.0,2025-06-11 14:22:00
2005-01-05,ISP IM Equity,1.1006,1.1288,1.0974,1.1159,43063936.0,2025-06-11 14:22:00
2005-01-06,ISP IM Equity,1.1194,1.1351,1.1162,1.1344,31654201.0,2025-06-11 14:22:00
2005-01-07,ISP IM Equity,1.1319,1.1507,1.1288,1.1388,31753131.0,2025-06-11 14:22:00
2005-01-10,ISP IM Equity,1.1382,1.1476,1.1319,1.1407,28070490.0,2025-06-11 14:22:00
2005-01-11,ISP IM Equity,1.1445,1.1476,1.1194,1.1278,41471607.0,2025-06-11 14:22:00
2005-01-12,ISP IM Equity,1.1256,1.1413,1.1194,1.1253,33918718.0,2025-06-11 14:22:00
2005-01-13,ISP IM Equity,1.1319,1.1351,1.1194,1.1238,33842617.0,2025-06-11 14:22:00
2005-01-14,ISP IM Equity,1.1194,1.1256,1.11,1.1206,30868799.0,2025-06-11 14:22:00
2005-01-17,ISP IM Equity,1.1256,1.1351,1.1162,1.1319,22950140.0,2025-06-11 14:22:00
2005-01-18,ISP IM Equity,1.1351,1.1382,1.1225,1.1272,28782460.0,2025-06-11 14:22:00
2005-01-19,ISP IM Equity,1.1319,1.1476,1.1256,1.1404,33680200.0,2025-06-11 14:22:00
2005-01-20,ISP IM Equity,1.1319,1.1382,1.1288,1.1357,16064177.0,2025-06-11 14:22:00
2005-01-21,ISP IM Equity,1.1319,1.1382,1.1319,1.1319,19010012.0,2025-06-11 14:22:00
2005-01-24,ISP IM Equity,1.1319,1.1319,1.1162,1.1253,27808016.0,2025-06-11 14:22:00
2005-01-25,ISP IM Equity,1.1256,1.1319,1.1194,1.1256,24504433.0,2025-06-11 14:22:00
2005-01-26,ISP IM Equity,1.1256,1.1288,1.1068,1.1162,35065092.0,2025-06-11 14:22:00
2005-01-27,ISP IM Equity,1.1194,1.1225,1.0943,1.11,46949233.0,2025-06-11 14:22:00
2005-01-28,ISP IM Equity,1.1131,1.1194,1.11,1.1162,18754217.0,2025-06-11 14:22:00
2005-01-31,ISP IM Equity,1.1178,1.1194,1.11,1.1169,24149924.0,2025-06-11 14:22:00
2005-02-01,ISP IM Equity,1.1217,1.1272,1.1147,1.1213,26969112.0,2025-06-11 14:22:00
2005-02-02,ISP IM Equity,1.1194,1.1225,1.1068,1.1078,33709140.0,2025-06-11 14:22:00
2005-02-03,ISP IM Equity,1.106,1.117,1.106,1.1118,31549658.0,2025-06-11 14:22:00
2005-02-04,ISP IM Equity,1.1131,1.1366,1.1131,1.1344,30178229.0,2025-06-11 14:22:00
2005-02-07,ISP IM Equity,1.1374,1.1398,1.1296,1.1341,21404655.0,2025-06-11 14:22:00
2005-02-08,ISP IM Equity,1.1319,1.1476,1.1319,1.1445,27796716.0,2025-06-11 14:22:00
2005-02-09,ISP IM Equity,1.1499,1.1805,1.1476,1.173,44004654.0,2025-06-11 14:22:00
2005-02-10,ISP IM Equity,1.1688,1.1899,1.1688,1.1764,29339619.0,2025-06-11 14:22:00
2005-02-11,ISP IM Equity,1.1829,1.1844,1.1742,1.1815,16008739.0,2025-06-11 14:22:00
2005-02-14,ISP IM Equity,1.1884,1.1915,1.175,1.1786,15514051.0,2025-06-11 14:22:00
2005-02-15,ISP IM Equity,1.1774,1.2064,1.1774,1.204,19735698.0,2025-06-11 14:22:00
2005-02-16,ISP IM Equity,1.1978,1.204,1.1774,1.1849,20763028.0,2025-06-11 14:22:00
2005-02-17,ISP IM Equity,1.1829,1.1852,1.1695,1.1717,15970542.0,2025-06-11 14:22:00
2005-02-18,ISP IM Equity,1.1782,1.1782,1.157,1.162,17214392.0,2025-06-11 14:22:00
2005-02-21,ISP IM Equity,1.1664,1.1735,1.1405,1.1454,18067479.0,2025-06-11 14:22:00
2005-02-22,ISP IM Equity,1.1484,1.1672,1.1335,1.1623,19445409.0,2025-06-11 14:22:00
2005-02-23,ISP IM Equity,1.1492,1.168,1.1484,1.163,15605529.0,2025-06-11 14:22:00
2005-02-24,ISP IM Equity,1.1586,1.1586,1.1452,1.1473,14527983.0,2025-06-11 14:22:00
2005-02-25,ISP IM Equity,1.1531,1.168,1.1476,1.1655,15888627.0,2025-06-11 14:22:00
2005-02-28,ISP IM Equity,1.1633,1.1758,1.1554,1.1601,12753207.0,2025-06-11 14:22:00
2005-03-01,ISP IM Equity,1.1546,1.1695,1.1507,1.1639,12541966.0,2025-06-11 14:22:00
2005-03-02,ISP IM Equity,1.1664,1.1719,1.1546,1.1652,16686155.0,2025-06-11 14:22:00
2005-03-03,ISP IM Equity,1.1601,1.1695,1.1539,1.1617,13040849.0,2025-06-11 14:22:00
2005-03-04,ISP IM Equity,1.1586,1.1719,1.1554,1.1717,14738013.0,2025-06-11 14:22:00
2005-03-07,ISP IM Equity,1.1774,1.2009,1.1429,1.1463,66808263.0,2025-06-11 14:22:00
2005-03-08,ISP IM Equity,1.1531,1.1546,1.1241,1.1303,55857649.0,2025-06-11 14:22:00
2005-03-09,ISP IM Equity,1.1351,1.1531,1.1335,1.1388,27956531.0,2025-06-11 14:22:00
2005-03-10,ISP IM Equity,1.1351,1.1546,1.1311,1.1473,22467779.0,2025-06-11 14:22:00
2005-03-11,ISP IM Equity,1.1539,1.1594,1.1429,1.1454,20734459.0,2025-06-11 14:22:00
2005-03-14,ISP IM Equity,1.1421,1.1656,1.1421,1.1633,21118996.0,2025-06-11 14:22:00
2005-03-15,ISP IM Equity,1.168,1.1868,1.1601,1.1733,35100275.0,2025-06-11 14:22:00
2005-03-16,ISP IM Equity,1.1727,1.1821,1.1413,1.1485,51210091.0,2025-06-11 14:22:00
2005-03-17,ISP IM Equity,1.1507,1.1539,1.1382,1.1454,14796452.0,2025-06-11 14:22:00
2005-03-18,ISP IM Equity,1.1398,1.168,1.1398,1.167,30720593.0,2025-06-11 14:22:00
2005-03-21,ISP IM Equity,1.1695,1.1837,1.1688,1.1733,25940123.0,2025-06-11 14:22:00
2005-03-22,ISP IM Equity,1.1742,1.1946,1.1719,1.1909,29408548.0,2025-06-11 14:22:00
2005-03-23,ISP IM Equity,1.1758,1.2017,1.1758,1.1962,24311772.0,2025-06-11 14:22:00
2005-03-24,ISP IM Equity,1.1962,1.2244,1.1946,1.2238,43447485.0,2025-06-11 14:22:00
2005-03-29,ISP IM Equity,1.226,1.2291,1.2103,1.2103,18397821.0,2025-06-11 14:22:00
2005-03-30,ISP IM Equity,1.2056,1.2181,1.2025,1.204,26121942.0,2025-06-11 14:22:00
2005-03-31,ISP IM Equity,1.2205,1.2323,1.2134,1.2291,78103287.0,2025-06-11 14:22:00
2005-04-01,ISP IM Equity,1.2275,1.2503,1.2268,1.2291,85513967.0,2025-06-11 14:22:00
2005-04-04,ISP IM Equity,1.2291,1.2323,1.2158,1.2166,58120318.0,2025-06-11 14:22:00
2005-04-05,ISP IM Equity,1.2205,1.2252,1.215,1.2166,37507749.0,2025-06-11 14:22:00
2005-04-06,ISP IM Equity,1.2228,1.2401,1.2221,1.2291,82911268.0,2025-06-11 14:22:00
2005-04-07,ISP IM Equity,1.2323,1.2338,1.2205,1.2291,24785556.0,2025-06-11 14:22:00
2005-04-08,ISP IM Equity,1.2354,1.2471,1.2315,1.2348,133256048.0,2025-06-11 14:22:00
2005-04-11,ISP IM Equity,1.226,1.2417,1.226,1.2354,135709622.0,2025-06-11 14:22:00
2005-04-12,ISP IM Equity,1.237,1.2464,1.2323,1.2385,48425884.0,2025-06-11 14:22:00
2005-04-13,ISP IM Equity,1.2479,1.2542,1.2275,1.2329,65646667.0,2025-06-11 14:22:00
2005-04-14,ISP IM Equity,1.2323,1.237,1.2275,1.2316,112956122.0,2025-06-11 14:22:00
2005-04-15,ISP IM Equity,1.233,1.233,1.1844,1.1899,131371392.0,2025-06-11 14:22:00
2005-04-18,ISP IM Equity,1.1657,1.1657,1.1206,1.1603,45075162.0,2025-06-11 14:22:00
2005-04-19,ISP IM Equity,1.173,1.1859,1.1585,1.167,113801079.0,2025-06-11 14:22:00
2005-04-20,ISP IM Equity,1.1827,1.1827,1.1673,1.1783,29604180.0,2025-06-11 14:22:00
2005-04-21,ISP IM Equity,1.169,1.1867,1.1625,1.1699,51009701.0,2025-06-11 14:22:00
2005-04-22,ISP IM Equity,1.1802,1.1827,1.169,1.1699,17384482.0,2025-06-11 14:22:00
2005-04-25,ISP IM Equity,1.1641,1.1746,1.1553,1.1706,13562026.0,2025-06-11 14:22:00
2005-04-26,ISP IM Equity,1.177,1.2069,1.1641,1.206,166883458.0,2025-06-11 14:22:00
2005-04-27,ISP IM Equity,1.2028,1.2181,1.1673,1.1748,39376758.0,2025-06-11 14:22:00
2005-04-28,ISP IM Equity,1.1835,1.198,1.1794,1.1906,33676317.0,2025-06-11 14:22:00
2005-04-29,ISP IM Equity,1.1835,1.202,1.177,1.189,17491133.0,2025-06-11 14:22:00
2005-05-02,ISP IM Equity,1.1996,1.2141,1.198,1.2093,13020379.0,2025-06-11 14:22:00
2005-05-03,ISP IM Equity,1.2077,1.2133,1.1996,1.2115,12094762.0,2025-06-11 14:22:00
2005-05-04,ISP IM Equity,1.2189,1.2246,1.2085,1.2238,28676317.0,2025-06-11 14:22:00
2005-05-05,ISP IM Equity,1.2294,1.2351,1.2133,1.2167,26719541.0,2025-06-11 14:22:00
2005-05-06,ISP IM Equity,1.2165,1.2278,1.1948,1.1996,41860722.0,2025-06-11 14:22:00
2005-05-09,ISP IM Equity,1.206,1.2101,1.194,1.2028,20960048.0,2025-06-11 14:22:00
2005-05-10,ISP IM Equity,1.2012,1.2085,1.194,1.1941,12972390.0,2025-06-11 14:22:00
2005-05-11,ISP IM Equity,1.194,1.206,1.1899,1.2022,35034500.0,2025-06-11 14:22:00
2005-05-12,ISP IM Equity,1.206,1.2077,1.1883,1.1973,18306699.0,2025-06-11 14:22:00
2005-05-13,ISP IM Equity,1.1972,1.202,1.1883,1.1941,16757941.0,2025-06-11 14:22:00
2005-05-16,ISP IM Equity,1.1875,1.1956,1.1875,1.1931,14048002.0,2025-06-11 14:22:00
2005-05-17,ISP IM Equity,1.198,1.198,1.1682,1.1693,19339640.0,2025-06-11 14:22:00
2005-05-18,ISP IM Equity,1.173,1.1786,1.1633,1.1748,23936288.0,2025-06-11 14:22:00
2005-05-19,ISP IM Equity,1.177,1.1907,1.1722,1.177,24344030.0,2025-06-11 14:22:00
2005-05-20,ISP IM Equity,1.1714,1.1754,1.1665,1.1712,40694530.0,2025-06-11 14:22:00
2005-05-23,ISP IM Equity,1.1625,1.1819,1.1617,1.1802,15952853.0,2025-06-11 14:22:00
2005-05-24,ISP IM Equity,1.177,1.1794,1.1617,1.1683,21498197.0,2025-06-11 14:22:00
2005-05-25,ISP IM Equity,1.1625,1.1786,1.1625,1.1767,16279664.0,2025-06-11 14:22:00
2005-05-26,ISP IM Equity,1.1746,1.1964,1.1746,1.1938,24517316.0,2025-06-11 14:22:00
2005-05-27,ISP IM Equity,1.1988,1.2012,1.1778,1.1822,25317880.0,2025-06-11 14:22:00
2005-05-30,ISP IM Equity,1.1843,1.2125,1.1827,1.2093,34767118.0,2025-06-11 14:22:00
2005-05-31,ISP IM Equity,1.2181,1.2343,1.2077,1.2257,52688177.0,2025-06-11 14:22:00
2005-06-01,ISP IM Equity,1.2262,1.2415,1.2262,1.2399,27904414.0,2025-06-11 14:22:00
2005-06-02,ISP IM Equity,1.2407,1.2447,1.2351,1.2409,9776242.0,2025-06-11 14:22:00
2005-06-03,ISP IM Equity,1.2391,1.2528,1.2206,1.2244,22295677.0,2025-06-11 14:22:00
2005-06-06,ISP IM Equity,1.2238,1.2407,1.2141,1.2235,11091007.0,2025-06-11 14:22:00
2005-06-07,ISP IM Equity,1.2278,1.2431,1.227,1.236,13843451.0,2025-06-11 14:22:00
