,date,price,dividend
0,11/10/10,2.2978,0.05
1,12/10/10,2.3259,0.05
2,13/10/10,2.3775,0.05
3,14/10/10,2.3564,0.05
4,15/10/10,2.3658,0.05
5,18/10/10,2.4221,0.05
6,19/10/10,2.4408,0.05
7,20/10/10,2.483,0.05
8,21/10/10,2.5112,0.05
9,22/10/10,2.4948,0.05
10,25/10/10,2.4291,0.05
11,26/10/10,2.4338,0.05
12,27/10/10,2.4291,0.05
13,28/10/10,2.4268,0.05
14,29/10/10,2.3705,0.05
15,01/11/10,2.3353,0.05
16,02/11/10,2.3611,0.05
17,03/11/10,2.3025,0.05
18,04/11/10,2.3377,0.05
19,05/11/10,2.2673,0.05
20,08/11/10,2.3119,0.05
21,09/11/10,2.3353,0.05
22,10/11/10,2.2134,0.05
23,11/11/10,2.1829,0.05
24,12/11/10,2.1923,0.05
25,15/11/10,2.2204,0.05
26,16/11/10,2.1946,0.05
27,17/11/10,2.1899,0.05
28,18/11/10,2.1993,0.05
29,19/11/10,2.1595,0.05
30,22/11/10,2.1008,0.05
31,23/11/10,2.0282,0.05
32,24/11/10,2.0329,0.05
33,25/11/10,2.0094,0.05
34,26/11/10,1.9977,0.05
35,29/11/10,1.9156,0.05
36,30/11/10,1.8804,0.05
37,01/12/10,1.932,0.05
38,02/12/10,2.0047,0.05
39,03/12/10,2.0094,0.05
40,06/12/10,1.9531,0.05
41,07/12/10,1.9813,0.05
42,08/12/10,2.0211,0.05
43,09/12/10,2.068,0.05
44,10/12/10,2.0352,0.05
45,13/12/10,2.0586,0.05
46,14/12/10,2.0727,0.05
47,15/12/10,2.0141,0.05
48,16/12/10,2.0188,0.05
49,17/12/10,1.9508,0.05
50,20/12/10,1.9836,0.05
51,21/12/10,2.0305,0.05
52,22/12/10,2.0117,0.05
53,23/12/10,2.0047,0.05
54,27/12/10,1.9695,0.05
55,28/12/10,1.9508,0.05
56,29/12/10,1.9484,0.05
57,30/12/10,1.9039,0.05
58,03/01/11,1.9273,0.05
59,04/01/11,1.9649,0.05
60,05/01/11,1.9297,0.05
61,06/01/11,1.925,0.05
62,07/01/11,1.8804,0.05
63,10/01/11,1.7735,0.05
64,11/01/11,1.8176,0.05
65,12/01/11,2.0047,0.05
66,13/01/11,2.054,0.05
67,14/01/11,2.1055,0.05
68,17/01/11,2.0891,0.05
69,18/01/11,2.1407,0.05
70,19/01/11,2.1477,0.05
71,20/01/11,2.2228,0.05
72,21/01/11,2.2556,0.05
73,24/01/11,2.2673,0.05
74,25/01/11,2.2181,0.05
75,26/01/11,2.1899,0.05
76,27/01/11,2.2978,0.05
77,28/01/11,2.2579,0.05
78,31/01/11,2.279,0.05
79,01/02/11,2.333,0.05
80,02/02/11,2.3939,0.05
81,03/02/11,2.3236,0.05
82,04/02/11,2.3517,0.05
83,07/02/11,2.3611,0.05
84,08/02/11,2.3353,0.05
85,09/02/11,2.3119,0.05
86,10/02/11,2.279,0.05
87,11/02/11,2.2978,0.05
88,14/02/11,2.272,0.05
89,15/02/11,2.3424,0.05
90,16/02/11,2.4291,0.05
91,17/02/11,2.4221,0.05
92,18/02/11,2.3752,0.05
93,21/02/11,2.2528,0.05
94,22/02/11,2.2153,0.05
95,23/02/11,2.234,0.05
96,24/02/11,2.2397,0.05
97,25/02/11,2.2865,0.05
98,28/02/11,2.2922,0.05
99,01/03/11,2.2303,0.05
100,02/03/11,2.2321,0.05
101,03/03/11,2.2246,0.05
102,04/03/11,2.2453,0.05
103,07/03/11,2.2078,0.05
104,08/03/11,2.2434,0.05
105,09/03/11,2.2509,0.05
106,10/03/11,2.2171,0.05
107,11/03/11,2.1834,0.05
108,14/03/11,2.219,0.05
109,15/03/11,2.1215,0.05
110,16/03/11,2.0071,0.05
111,17/03/11,2.0652,0.05
112,18/03/11,2.0652,0.05
113,21/03/11,2.1384,0.05
114,22/03/11,2.1384,0.05
115,23/03/11,2.1309,0.05
116,24/03/11,2.144,0.05
117,25/03/11,2.1384,0.05
118,28/03/11,2.1515,0.05
119,29/03/11,2.054,0.05
120,30/03/11,2.0502,0.05
