,reference_date,moneyness,tenor,implied_vol
0,2008-02-15,0.8,90D,0.36593000000000003
1,2008-02-15,0.9,90D,0.289508
2,2008-02-15,1.0,90D,0.24990400000000002
3,2008-02-15,1.1,90D,0.255147
4,2008-02-15,1.2,90D,0.26554880000000003
5,2008-02-15,0.8,180D,0.3015719
6,2008-02-15,0.9,180D,0.260888
7,2008-02-15,1.0,180D,0.239833
8,2008-02-15,1.1,180D,0.26206399999999996
9,2008-02-15,1.2,180D,0.2605069
10,2008-02-15,0.8,360D,0.2503238
11,2008-02-15,0.9,360D,0.226542
12,2008-02-15,1.0,360D,0.215247
13,2008-02-15,1.1,360D,0.240531
14,2008-02-15,1.2,360D,0.2342519
15,2008-02-15,0.8,720D,0.23181000000000002
16,2008-02-15,0.9,720D,0.213321
17,2008-02-15,1.0,720D,0.20114
18,2008-02-15,1.1,720D,0.23703700000000003
19,2008-02-15,1.2,720D,0.2302688
0,2008-02-18,0.8,90D,0.35020629999999997
1,2008-02-18,0.9,90D,0.304631
2,2008-02-18,1.0,90D,0.278327
3,2008-02-18,1.1,90D,0.261154
4,2008-02-18,1.2,90D,0.2539131
5,2008-02-18,0.8,180D,0.30841
6,2008-02-18,0.9,180D,0.270955
7,2008-02-18,1.0,180D,0.26814
8,2008-02-18,1.1,180D,0.26575
9,2008-02-18,1.2,180D,0.2562531
10,2008-02-18,0.8,360D,0.270235
11,2008-02-18,0.9,360D,0.246762
12,2008-02-18,1.0,360D,0.252697
13,2008-02-18,1.1,360D,0.258712
14,2008-02-18,1.2,360D,0.2501219
15,2008-02-18,0.8,720D,0.2504613
16,2008-02-18,0.9,720D,0.228922
17,2008-02-18,1.0,720D,0.225689
18,2008-02-18,1.1,720D,0.247694
19,2008-02-18,1.2,720D,0.24181809999999998
0,2008-02-19,0.8,90D,0.3869731
1,2008-02-19,0.9,90D,0.32980800000000005
2,2008-02-19,1.0,90D,0.30195900000000003
3,2008-02-19,1.1,90D,0.291126
4,2008-02-19,1.2,90D,0.2939163
5,2008-02-19,0.8,180D,0.3153413
6,2008-02-19,0.9,180D,0.27291
7,2008-02-19,1.0,180D,0.26806
8,2008-02-19,1.1,180D,0.268387
9,2008-02-19,1.2,180D,0.26167809999999997
10,2008-02-19,0.8,360D,0.24271689999999999
11,2008-02-19,0.9,360D,0.223807
12,2008-02-19,1.0,360D,0.22978500000000002
13,2008-02-19,1.1,360D,0.238853
14,2008-02-19,1.2,360D,0.22694
15,2008-02-19,0.8,720D,0.2582038
16,2008-02-19,0.9,720D,0.24255
17,2008-02-19,1.0,720D,0.241895
18,2008-02-19,1.1,720D,0.265434
19,2008-02-19,1.2,720D,0.2566531
0,2008-02-20,0.8,90D,0.4042788
1,2008-02-20,0.9,90D,0.32697000000000004
2,2008-02-20,1.0,90D,0.294663
3,2008-02-20,1.1,90D,0.29303999999999997
4,2008-02-20,1.2,90D,0.3092069
5,2008-02-20,0.8,180D,0.29447310000000004
6,2008-02-20,0.9,180D,0.262164
7,2008-02-20,1.0,180D,0.260746
8,2008-02-20,1.1,180D,0.26513000000000003
9,2008-02-20,1.2,180D,0.2586213
10,2008-02-20,0.8,360D,0.2706238
11,2008-02-20,0.9,360D,0.242913
12,2008-02-20,1.0,360D,0.24395299999999998
13,2008-02-20,1.1,360D,0.257326
14,2008-02-20,1.2,360D,0.2531481
15,2008-02-20,0.8,720D,0.25316310000000003
16,2008-02-20,0.9,720D,0.230163
17,2008-02-20,1.0,720D,0.224122
18,2008-02-20,1.1,720D,0.24862700000000001
19,2008-02-20,1.2,720D,0.24133500000000002
0,2008-02-21,0.8,90D,0.37682000000000004
1,2008-02-21,0.9,90D,0.318915
2,2008-02-21,1.0,90D,0.292164
3,2008-02-21,1.1,90D,0.28514
4,2008-02-21,1.2,90D,0.2909731
5,2008-02-21,0.8,180D,0.3466081
6,2008-02-21,0.9,180D,0.282977
7,2008-02-21,1.0,180D,0.267747
8,2008-02-21,1.1,180D,0.26062
9,2008-02-21,1.2,180D,0.2513169
10,2008-02-21,0.8,360D,0.27078810000000003
11,2008-02-21,0.9,360D,0.244135
12,2008-02-21,1.0,360D,0.24823399999999998
13,2008-02-21,1.1,360D,0.255525
14,2008-02-21,1.2,360D,0.24428809999999998
15,2008-02-21,0.8,720D,0.2560288
16,2008-02-21,0.9,720D,0.23215
17,2008-02-21,1.0,720D,0.22697099999999998
18,2008-02-21,1.1,720D,0.24929300000000001
19,2008-02-21,1.2,720D,0.24021499999999998
0,2008-02-22,0.8,90D,0.379255
1,2008-02-22,0.9,90D,0.32321599999999995
2,2008-02-22,1.0,90D,0.302852
3,2008-02-22,1.1,90D,0.28514
4,2008-02-22,1.2,90D,0.2831319
5,2008-02-22,0.8,180D,0.31910499999999997
6,2008-02-22,0.9,180D,0.268753
7,2008-02-22,1.0,180D,0.28008500000000003
8,2008-02-22,1.1,180D,0.269832
9,2008-02-22,1.2,180D,0.2664488
10,2008-02-22,0.8,360D,0.2649888
11,2008-02-22,0.9,360D,0.23726299999999997
12,2008-02-22,1.0,360D,0.261168
13,2008-02-22,1.1,360D,0.25626
14,2008-02-22,1.2,360D,0.2526731
15,2008-02-22,0.8,720D,0.2577513
